ai_entity_field	824	26
ai_ir_events	3780	14
ai_ir_fragment_snapshots	782	13
ai_projects	329	19
ai_route_table	328	10
ai_seed_templates	40	9
ai_skill_llm_policy	9	8
ai_skill_runs	373	11
base_advanced_query_scheme	2	18
BASE_AI_AGENT_CONFIG	5	19
BASE_AI_AGENT_SKILL	0	13
BASE_AI_CALL_LOG	1502	25
BASE_AI_EVAL_CASE	4	13
BASE_AI_EVAL_GOLDEN_SET	1	11
BASE_AI_EVAL_RUN	0	20
BASE_AI_GENERATED_PROJECT	328	25
BASE_AI_MCP_CONFIG	0	15
BASE_AI_MODEL_PROVIDER	5	20
BASE_AI_MODEL_ROUTING	5	16
BASE_AI_PIPELINE	409	38
BASE_AI_PIPELINE_MESSAGE	678	20
BASE_AI_PIPELINE_S2_PROGRESS	3	20
BASE_AI_PIPELINE_STAGE_CONFIG	5	15
BASE_AI_PROMPT_TEMPLATE	0	12
BASE_AI_SKILL_REVIEW	0	14
BASE_AI_UI_TEMPLATE	0	18
base_api_log	39	38
base_app_data	0	20
base_authorize	2553	16
base_bill_rule	61	27
base_columns_purview	1	14
base_common_fields	10	18
base_common_words	0	15
base_data_interface	146	27
base_data_interface_log	0	19
base_data_interface_oauth	1	21
base_data_interface_user	1	14
base_data_interface_variate	1	15
base_db_link	1	23
base_dictionary_data	897	20
base_dictionary_type	145	19
base_file	0	16
BASE_FOUNDER_AUTH_LOG	13	16
base_group	1	15
base_im_content	9	18
base_im_reply	2	15
base_integrate	3	20
base_integrate_node	0	26
base_integrate_queue	0	17
base_integrate_task	0	23
BASE_IR_EDIT_PATCH	0	17
BASE_IR_VERSION	0	21
BASE_KNOWLEDGE_EDGE	0	16
BASE_KNOWLEDGE_NODE	0	15
BASE_KNOWLEDGE_RULE	0	16
BASE_MENU_BADGE	0	8
base_message	1229	20
base_module	210	28
base_module_authorize	8	24
base_module_button	34	20
base_module_column	6	22
base_module_form	6	21
base_module_link	2	15
base_module_scheme	8	20
base_msg_account	4	39
base_msg_monitor	147	21
base_msg_send	24	17
base_msg_send_template	23	17
base_msg_short_link	0	21
base_msg_sms_field	0	17
base_msg_template	26	23
base_msg_template_param	78	15
base_msg_wechat_user	0	16
base_notice	3	22
base_organize	6	20
base_organize_administrator	5	25
base_organize_relation	0	15
base_permission_group	5	16
base_portal	2	24
base_portal_data	9	16
base_portal_manage	2	16
base_position	2	18
base_print_log	21	14
base_print_template	5	25
base_province	47512	18
base_province_atlas	3210	20
BASE_REPORT	5	14
base_role	9	18
BASE_SANDBOX	0	22
base_schedule	0	33
base_schedule_log	0	35
base_schedule_user	0	16
base_sign_img	0	15
base_signature	0	16
base_signature_user	0	15
base_socials_users	0	15
BASE_STUDIO_MENU	54	19
BASE_STUDIO_MENU_BAK_20260617	54	19
base_syn_third_info	0	17
base_sys_config	74	17
base_sys_log	12615	32
base_system	7	23
BASE_TENANT_GLOSSARY	0	13
BASE_TENANT_INDUSTRY	0	12
base_time_task	0	21
base_time_task_log	22	16
base_user	45	68
base_user_device	0	14
base_user_old_password	0	15
base_user_relation	82	15
base_visual_dev	48	30
base_visual_filter	0	14
base_visual_link	0	26
base_visual_release	25	29
